name,group
cassava flour,grain
chickpea (garbanzo) flour,grain
chapati flour,grain
dal flour,grain
fufu flour,grain
kamut flour,grain
millet flour,grain
teff flour,grain
almond meal/flour,grain
amaranth flour,grain
barley flour,grain
buckwheat flour,grain
corn flour,grain
flaxseed flour or meal,grain
oat flour,grain
peanut flour,grain
potato flour,grain
rice flour brown,grain
rice flour white,grain
rye flour,grain
soy flour,grain
spelt flour,grain
all purpose flour,grain
100% whole-wheat flour,grain
white whole-wheat flour,grain
self-rising flour,grain
pastry flour,grain
cake flour,grain
bread flour,grain
gluten flour,grain
semolina flour,grain
teff flour,grain
