name,group
angelica,herb
basil,herb
holy basil,herb
thai basil,herb
bay leaf,herb
indian bay leaf,herb
boldo,herb
borage,herb
chervil,herb
chives,herb
garlic chives,herb
cicely,herb
coriander leaf,herb
cilantro,herb
bolivian coriander,herb
vietnamese coriander,herb
culantro,herb
cress,herb
curry leaf,herb
dill,herb
epazote,herb
hemp,herb
hoja santa,herb
houttuynia cordata,herb
hyssop,herb
jimbu,herb
kinh gioi,herb
lavender,herb
lemon balm,herb
lemon grass,herb
lemon myrtle,herb
lemon verbena,herb
limnophila aromatica,herb
lovage,herb
marjoram,herb
mint,herb
mugwort,herb
mitsuba,herb
oregano,herb
parsley,herb
perilla,herb
rosemary,herb
rue,herb
sage,herb
savory,herb
sansho,herb
shiso,herb
sorrel,herb
tarragon,herb
thyme,herb
woodruff,herb
basil leaves,herb
fennel seeds,herb
