name,group
adjika,mixture
advieh,mixture
baharat,mixture
beau monde seasoning,mixture
berbere,mixture
bouquet garni,mixture
buknu,mixture
chaat masala,mixture
chaunk,mixture
chili powder,mixture
crab boil,mixture
curry powder,mixture
doubanjiang,mixture
douchi,mixture
duqqa,mixture
fines herbes,mixture
five-spice powder,mixture
garam masala,mixture
garlic powder,mixture
garlic salt,mixture
gochujang,mixture
harissa,mixture
hawaij,mixture
herbes de provence,mixture
idli podi,mixture
jamaican jerk spice,mixture
khmeli suneli,mixture
lemon pepper,mixture
mitmita,mixture
mixed spice,mixture
montreal steak seasoning,mixture
mulling spices,mixture
old bay seasoning,mixture
onion powder,mixture
panch phoron,mixture
persillade,mixture
powder-douce,mixture
pumpkin pie spice,mixture
ras el hanout,mixture
recado rojo,mixture
sharena sol,mixture
shichimi,mixture
tabil,mixture
tandoori masala,mixture
vadouvan,mixture
yuzukosho,mixture
za'atar,mixture
