name,group
fusillini,pasta
farfalle,pasta
fusilli,pasta
orecchiette,pasta
bucatini,pasta
macaroni,pasta
rigatoni,pasta
spaghetti,pasta
vermicelli,pasta
capellini,pasta
bavette,pasta
fettuccine,pasta
linguine,pasta
mafaldine,pasta
pappardelle,pasta
pizzoccheri,pasta
stringozzi,pasta
tagliatelle,pasta
tagliolini,pasta
ravioli,pasta
tortellini,pasta
tortelloni,pasta
noodle,pasta
wonton,pasta
bigoli,pasta
pierogi,pasta
trenette,pasta
spaghetti alla chitarra,pasta
garganelli,pasta
acini di pepe,pasta
mezzelune,pasta
pumpkin tortellini,pasta
capelli d’angelo,pasta
cappelletti,pasta
corzetti,pasta
penne,pasta
radiatori,pasta
orzo,pasta
pici,pasta
shumai,pasta
ziti,pasta
agnolotti pavesi,pasta
culurgiones,pasta
ditalini,pasta
fusilli bucati,pasta
pansotti,pasta
lasagne,pasta
maccheroncini di campofilone,pasta
mafalde,pasta
maltagliati,pasta
sagne,pasta
scialatelli,pasta
strascinati,pasta
testaroli,pasta
tortelli,pasta
tortello amaro di castel goffredo,pasta
croxetti,pasta
rotini,pasta
fiori,pasta
foglie d'ulivo,pasta
pillus,pasta
sacchettoni,pasta
sagnarelli,pasta
tripoline,pasta
macaroni,pasta
varenyky,pasta
caccavelle,pasta
cencioni,pasta
maccheroni alla molinara,pasta
pipe rigate,pasta
anelloni,pasta
capunti,pasta
barbine,pasta
troccoli,pasta
maccheroni al pettine,pasta
cornetti,pasta
parmatieddi,pasta
conchiglioni,pasta
busiate,pasta
fileja,pasta
fedelini,pasta
matriciani,pasta
fazzoletti,pasta
rombi,pasta
ribbon noodle,pasta
conchigliette,pasta
millerighe,pasta
tortellini filled with cheese,pasta
star pasta,pasta
wholemeal pasta,pasta
linguine pasta,pasta
