name,group
aonori,spice
ajwain,spice
allspice,spice
amchoor,spice
anise,spice
star anise,spice
asafoetida,spice
camphor,spice
caraway,spice
cardamom,spice
black cardamom,spice
cassia,spice
celery powder,spice
celery seed,spice
charoli,spice
chenpi,spice
cinnamon,spice
clove,spice
coriander seed,spice
cubeb,spice
cumin,spice
nigella sativa,spice
bunium persicum,spice
dill,spice
dill seed,spice
fennel,spice
fenugreek,spice
fingerroot,spice
greater galangal,spice
lesser galangal,spice
garlic,spice
ginger,spice
aromatic ginger,spice
golpar,spice
grains of paradise,spice
grains of selim,spice
horseradish,spice
juniper berry,spice
kokum,spice
korarima,spice
dried lime,spice
liquorice,spice
litsea cubeba,spice
mace,spice
mango-ginger,spice
mastic,spice
mahlab,spice
black mustard,spice
brown mustard,spice
white mustard,spice
nigella,spice
njangsa,spice
nutmeg,spice
alligator pepper,spice
brazilian pepper,spice
chili pepper,spice
cayenne pepper,spice
paprika,spice
long pepper,spice
peruvian pepper,spice
east asian pepper,spice
sichuan pepper,spice
sansho,spice
tasmanian pepper,spice
black peppercorn,spice
green peppercorn,spice
white peppercorn,spice
pomegranate seed,spice
poppy seed,spice
radhuni,spice
rose,spice
saffron,spice
salt,spice
sarsaparilla,spice
sassafras,spice
sesame,spice
shiso,spice
sumac,spice
tamarind,spice
tonka bean,spice
turmeric,spice
uzazi,spice
vanilla,spice
voatsiperifery,spice
wasabi,spice
yuzu,spice
zedoary,spice
zereshk,spice
zest,spice
