description,fruits
A list of fruits.,apple
A list of fruits.,apricot
A list of fruits.,avocado
A list of fruits.,banana
A list of fruits.,bell pepper
A list of fruits.,bilberry
A list of fruits.,blackberry
A list of fruits.,blackcurrant
A list of fruits.,blood orange
A list of fruits.,blueberry
A list of fruits.,boysenberry
A list of fruits.,breadfruit
A list of fruits.,canary melon
A list of fruits.,cantaloupe
A list of fruits.,cherimoya
A list of fruits.,cherry
A list of fruits.,chili pepper
A list of fruits.,clementine
A list of fruits.,cloudberry
A list of fruits.,coconut
A list of fruits.,cranberry
A list of fruits.,cucumber
A list of fruits.,currant
A list of fruits.,damson
A list of fruits.,date
A list of fruits.,dragonfruit
A list of fruits.,durian
A list of fruits.,eggplant
A list of fruits.,elderberry
A list of fruits.,feijoa
A list of fruits.,fig
A list of fruits.,goji berry
A list of fruits.,gooseberry
A list of fruits.,grape
A list of fruits.,grapefruit
A list of fruits.,guava
A list of fruits.,honeydew
A list of fruits.,huckleberry
A list of fruits.,jackfruit
A list of fruits.,jambul
A list of fruits.,jujube
A list of fruits.,kiwi fruit
A list of fruits.,kumquat
A list of fruits.,lemon
A list of fruits.,lime
A list of fruits.,loquat
A list of fruits.,lychee
A list of fruits.,mandarine
A list of fruits.,mango
A list of fruits.,mulberry
A list of fruits.,nectarine
A list of fruits.,nut
A list of fruits.,olive
A list of fruits.,orange
A list of fruits.,pamelo
A list of fruits.,papaya
A list of fruits.,passionfruit
A list of fruits.,peach
A list of fruits.,pear
A list of fruits.,persimmon
A list of fruits.,physalis
A list of fruits.,pineapple
A list of fruits.,plum
A list of fruits.,pomegranate
A list of fruits.,pomelo
A list of fruits.,purple mangosteen
A list of fruits.,quince
A list of fruits.,raisin
A list of fruits.,rambutan
A list of fruits.,raspberry
A list of fruits.,redcurrant
A list of fruits.,rock melon
A list of fruits.,salal berry
A list of fruits.,satsuma
A list of fruits.,star fruit
A list of fruits.,strawberry
A list of fruits.,tamarillo
A list of fruits.,tangerine
A list of fruits.,tomato
A list of fruits.,ugli fruit
A list of fruits.,watermelon
