description,pastries
A list of classic breads and sweet pastries.,baklava
A list of classic breads and sweet pastries.,bomboloni
A list of classic breads and sweet pastries.,canelé
A list of classic breads and sweet pastries.,cinnamon roll
A list of classic breads and sweet pastries.,croissant
A list of classic breads and sweet pastries.,cronut
A list of classic breads and sweet pastries.,doughnut
A list of classic breads and sweet pastries.,éclair
A list of classic breads and sweet pastries.,gulab jamun
A list of classic breads and sweet pastries.,kouign-amann
A list of classic breads and sweet pastries.,mille-feuille
A list of classic breads and sweet pastries.,morning bun
A list of classic breads and sweet pastries.,pain au chocolat
A list of classic breads and sweet pastries.,pastel de nata
A list of classic breads and sweet pastries.,profiterole
A list of classic breads and sweet pastries.,rugelach
A list of classic breads and sweet pastries.,shortcake
A list of classic breads and sweet pastries.,stollen
A list of classic breads and sweet pastries.,strudel
A list of classic breads and sweet pastries.,toaster strudel
