name,substitute
cassava flour,cassava flour
chickpea (garbanzo) flour,chickpea (garbanzo) flour
chapati flour,gluten-free chapati flour
dal flour,dal flour
fufu flour,fufu flour
kamut flour,amaranth flour
millet flour,millet flour
teff flour,teff flour
almond meal/flour,almond meal/flour
amaranth flour,amaranth flour
barley flour,buckwheat flour
buckwheat flour,buckwheat flour
corn flour,corn flour
flaxseed flour or meal,flaxseed flour or meal
oat flour,oat flour
peanut flour,peanut flour
potato flour,potato flour
rice flour brown,rice flour brown
rice flour white,rice flour white
rye flour,teff flour
soy flour,soy flour
spelt flour,amaranth flour
all purpose flour,all purpose gluten-free flour
100% whole-wheat flour,100% whole-wheat gluten-free flour
white whole-wheat flour,white whole-wheat gluten-free flour
self-rising flour,amaranth flour
pastry flour,gluten-free pastry flour
cake flour,gluten-free cake flour
bread flour,gluten-free bread flour
gluten flour,amaranth flour
semolina flour,buckwheat flour
teff flour,teff flour
fusillini,multigrain fusillini
farfalle,multigrain farfalle
fusilli,multigrain fusilli
orecchiette,multigrain orecchiette
bucatini,multigrain bucatini
macaroni,multigrain macaroni
rigatoni,multigrain rigatoni
spaghetti,multigrain spaghetti
vermicelli,multigrain vermicelli
capellini,multigrain capellini
bavette,multigrain bavette
fettuccine,multigrain fettuccine
linguine,multigrain linguine
mafaldine,multigrain mafaldine
pappardelle,multigrain pappardelle
pizzoccheri,multigrain pizzoccheri
stringozzi,multigrain stringozzi
tagliatelle,multigrain tagliatelle
tagliolini,multigrain tagliolini
ravioli,multigrain ravioli
tortellini,multigrain tortellini
tortelloni,multigrain tortelloni
noodle,multigrain noodle
wonton,multigrain wonton
bigoli,multigrain bigoli
pierogi,multigrain pierogi
trenette,multigrain trenette
spaghetti alla chitarra,multigrain spaghetti alla chitarra
garganelli,multigrain garganelli
acini di pepe,multigrain acini di pepe
mezzelune,multigrain mezzelune
pumpkin tortellini,multigrain pumpkin tortellini
capelli d’angelo,multigrain capelli d’angelo
cappelletti,multigrain cappelletti
corzetti,multigrain corzetti
penne,multigrain penne
radiatori,multigrain radiatori
orzo,multigrain orzo
pici,multigrain pici
shumai,multigrain shumai
ziti,multigrain ziti
agnolotti pavesi,multigrain agnolotti pavesi
culurgiones,multigrain culurgiones
ditalini,multigrain ditalini
fusilli bucati,multigrain fusilli bucati
pansotti,multigrain pansotti
lasagne,multigrain lasagne
maccheroncini di campofilone,multigrain maccheroncini di campofilone
mafalde,multigrain mafalde
maltagliati,multigrain maltagliati
sagne,multigrain sagne
scialatelli,multigrain scialatelli
strascinati,multigrain strascinati
testaroli,multigrain testaroli
tortelli,multigrain tortelli
tortello amaro di castel goffredo,multigrain tortello amaro di castel goffredo
croxetti,multigrain croxetti
rotini,multigrain rotini
fiori,multigrain fiori
foglie d'ulivo,multigrain foglie d'ulivo
pillus,multigrain pillus
sacchettoni,multigrain sacchettoni
sagnarelli,multigrain sagnarelli
tripoline,multigrain tripoline
macaroni,multigrain macaroni
varenyky,multigrain varenyky
caccavelle,multigrain caccavelle
cencioni,multigrain cencioni
maccheroni alla molinara,multigrain maccheroni alla molinara
pipe rigate,multigrain pipe rigate
anelloni,multigrain anelloni
capunti,multigrain capunti
barbine,multigrain barbine
troccoli,multigrain troccoli
maccheroni al pettine,multigrain maccheroni al pettine
cornetti,multigrain cornetti
parmatieddi,multigrain parmatieddi
conchiglioni,multigrain conchiglioni
busiate,multigrain busiate
fileja,multigrain fileja
fedelini,multigrain fedelini
matriciani,multigrain matriciani
fazzoletti,multigrain fazzoletti
rombi,multigrain rombi
ribbon noodle,multigrain ribbon noodle
conchigliette,multigrain conchigliette
millerighe,multigrain millerighe
tortellini filled with cheese,multigrain tortellini filled with cheese
star pasta,multigrain star pasta
wholemeal pasta,multigrain wholemeal pasta
linguine pasta,multigrain linguine pasta
kneippbrød,gluten-free kneippbrød
bolo do caco,gluten-free bolo do caco
pathiri,gluten-free pathiri
baati,gluten-free baati
rumali roti,gluten-free rumali roti
beer bread,gluten-free beer bread
burebrot,gluten-free burebrot
ciriola,gluten-free ciriola
civraxiu,gluten-free civraxiu
friselle,gluten-free friselle
gnocco fritto,gluten-free gnocco fritto
sop,gluten-free sop
kitcha,gluten-free kitcha
rye bread,gluten-free rye bread
pane casareccio di genzano,gluten-free pane casareccio di genzano
pane di altamura,gluten-free pane di altamura
adobe bread,gluten-free adobe bread
krol,gluten-free krol
barley bread,gluten-free barley bread
barm cake,gluten-free barm cake
biscuit,gluten-free biscuit
biskotso,gluten-free biskotso
bollo,gluten-free bollo
bread bun,gluten-free bread bun
broa de avintes,gluten-free broa de avintes
bulkie roll,gluten-free bulkie roll
